Name;Type;Units  or  mass;Status;Organisation;Institution;Entity;Nation;Oneliner;Images
ORCA2Sat  (ORCASat,  ORCA2Sa,  Optical  and  radio  calibration  of  atmospheric  attenuation  CubeSat,  Optical  and  Radio  Calibration  Satellite);CubeSat;2U;not  launched,  expected  in  2022;University  of  Victoria;University;Academic  /  Education;Canada;Calibrate  optical  and  radio  observatories  in  to  reduce  uncertainties  in  measurements  of  the  Universe  expansion  rate.;['https://dl.airtable.com/.attachments/83a622a387e9b05cd57917a0b3e6adcb/f79a1532/ORCASat_2.png',  'https://dl.airtable.com/.attachments/0b2a841c62043f80b65a60e48b2afa33/da7b2253/ORCASat.png']
QMSat  (Quantum  Magneto  Satellite);CubeSat;2U;not  launched,  expected  in  2022;Université  de  Sherbrooke;University;Academic  /  Education;Canada;In-orbit  demonstration  of  a  quantum  magnetometer.;[]
SelfieSat;CubeSat;2U;not  launched,  expected  in  2022;Orbit  NTNU;Non-profit;Academic  /  Education;Norway;Display  a  selfie  and  robotic  arm  with  a  camera  will  photograph  the  screen  with  the  Earth  in  its  background.;['https://dl.airtable.com/.attachments/d744e18dc8e3f59c5aa0a216cb7b6e5f/4966c0cd/SelfieSat.png']
SERB  (X-CubeSat  2,  SUMO,  Solar  Ultraviolet  Monitor  and  Ozone  Nanosatellite);CubeSat;3U;not  launched,  expected  in  2022;LATMOS  (Laboratoire  Atmosphères,  Milieux,  Observations  Spatiales);Institute;Government  (Civil  /  Military);France;Measure  the  Earth  radiation  budget  (ERB),  the  solar  energy  input  and  the  energy  reemitted.;['https://dl.airtable.com/.attachments/f6f1aeb38f7416ef98071d9866a4226e/9032c6c9/SERB.png',  'https://dl.airtable.com/.attachments/53e491c3d0940c2760c1cbe4a241a76f/4ff54cbf/SERB_2.png']
SpaceTeamSat1;CubeSat;1U;not  launched,  expected  in  2022;Vienna  University  of  Technology;University;Academic  /  Education;Austria;Contain  various  sensors,  which  can  be  read-out  by  the  individual  code  from  the  student  teams.  ;['https://dl.airtable.com/.attachments/90dd9a37fd7780aee7508b4057785cf7/c384040b/ArduSat.png']
SpudNik-1;CubeSat;3U;not  launched,  expected  in  2022;University  of  Prince  Edward  Island;University;Academic  /  Education;Canada;Develop  and  test  an  imaging  system  for  precision  agriculture.;['https://dl.airtable.com/.attachments/2d54b41671d6cfebbfb81ede06097a19/5c98f929/spudnik-1.webp']
VIOLET  (CubeSat  NB);CubeSat;2U;not  launched,  expected  in  2022;University  of  New  Brunswick;University;Academic  /  Education;Canada;Measure  GPS  signals  after  passing  through  atmosphere  and  several  cameras  for  atmosphere  and  Earth  imaging.;[]
YukonSat;CubeSat;2U;not  launched,  expected  in  2022;Yukon  College;University;Academic  /  Education;Canada;Coding  challenges  to  transmit  and  receive  short  voice  recordings.;[]
ALEASAT;CubeSat;1U;not  launched,  expected  in  2023;University  of  British  Columbia;University;Academic  /  Education;Canada;Picture  the  earth  and  investigate  the  physiological  effects  of  long-term  human  spaceflight. 
                                        ;['https://dl.airtable.com/.attachments/b81cac658e15bc3f2383ccceefc9e7d1/d9846d09/ALEASAT_2.jpg',  'https://dl.airtable.com/.attachments/c551a6aa71dcda4ac8653ab61d54399c/1f771506/ALEASAT.jpg']
BELIEFSAT;PocketQube;PocketQube  3p;not  launched,  expected  in  2023;K  J  Somaiya  Institute  of  Engineering  and  Information  Technology;Non-profit;Academic  /  Education;India;Educational  mission  and  demonstrating  PocketQube  technologies.;['https://dl.airtable.com/.attachments/4a604313d1a717b45aa701ecea3adfcb/bf8e2c67/BELIEFSAT.jpg']
BurkinaSat-1;CubeSat;1U;not  launched,  expected  in  2023;Norbert-Zongo  University;University;Academic  /  Education;Burkina  Faso;An  Earth  observation  nanosatellite. 
                                        ;[]
INNOcube;CubeSat;3U;not  launched,  expected  in  2023;University  of  Würzburg;University;Academic  /  Education;Germany;Demonstrate  structure  that  can  store  energy  and  ultra-broadband  radio  that  does  not  require  internal  cabling.;['https://dl.airtable.com/.attachments/d16f2043052cc257d8131b10a637deb3/8106b3fc/INNOcube_2.jpg',  'https://dl.airtable.com/.attachments/4337a76f030a20116c7bf262b6559319/fae27c10/INNOcube.jpg']
KufaSat;CubeSat;1U;not  launched,  expected  in  2023;University  of  Kufa;University;Academic  /  Education;Iraq;Remote  sensing  and  imaging. 
                                        ;['https://dl.airtable.com/.attachments/a9706c9f2983000a74a427e40d061486/a94f0ca2/B.jpg']
METEOR  (METEORIX);CubeSat;3U;not  launched,  expected  in  2023;Université  Pierre  et  Marie  Curie;University;Academic  /  Education;France;Detect  and  characterize  meteors  by  UV  photometry  and  spectroscopy. 
                                        ;['https://dl.airtable.com/.attachments/0df4887f8194fe99e15a0753139de6c4/85174bc1/Meteorix.gif']
PilsenCube2;CubeSat;1U;not  launched,  expected  in  2023;University  of  West  Bohemia;University;Academic  /  Education;Czech;Demonstrating  Timepix-based  hodoscope  for  cubesat  applications  for  detecting  passing  charged  particles.;[]
AEPEX  (Atmospheric  Effects  of  Precipitation  through  Energetic  X-rays);CubeSat;6U;not  launched,  expected  in  2024;University  of  Colorado  at  Boulder;University;Academic  /  Education;US;Investigate  electrons  that  fall  into  Earth’s  atmosphere  from  the  Van  Allen  radiation  belts.;['https://dl.airtable.com/.attachments/5daf727bd630ae148dcd0cf222954150/14aac1ee/AEPEX.png']
SMOG-1;PocketQube;PocketQube  1p;not  launched,  expected  in  2025;Budapest  University  of  Technology  and  Economics;University;Academic  /  Education;Hungary;It's  mission  is  to  measure  the  RF  spectrum  (430-830MHz)  in  the  Low  Earth  Orbit. 
                                        ;['https://dl.airtable.com/.attachments/ee3ce64fc50e788d92e0b51bf07a9d44/6f0d2c55/SMOG-1_2.jpg',  'https://dl.airtable.com/.attachments/e5c2f7074dad92ff52f37ea2ecdaaecd/ebfdbe4f/SMOG-1.jpg']
3-STAR  (3STAR);CubeSat;3U;cancelled;Polytechnic  University  of  Turin;University;Academic  /  Education;Italy;Radio  communications  and  GNSS-RO  payloads.;['https://dl.airtable.com/.attachments/ab178bc1d0b3db64f8f5943c3306cf16/b66bea18/3Star.png']
14-BISat;CubeSat;2U;cancelled;Instituto  Federal  Fluminense;University;Academic  /  Education;Brazil;Part  of  QB50  to  study  lower  termosphere.;['https://dl.airtable.com/.attachments/1d9fae374168d0dba37fd2e6f2981abe/8f3213cd/14-Bisat.jpg']
Aleksandr  (Consat-2);CubeSat;3U;cancelled;Concordia  University;University;Academic  /  Education;Canada;Test  the  self-healing  material  in  space. 
                                        ;['https://dl.airtable.com/zXgHWpLARoGXQrNZknSo_ConSat-1_engineering_model_node_full_image_2.jpg']
Antarctic  Broadband  Nanosatellite  Demonstration  Mission;Nanosatellite;6.82  kg;cancelled;Australian  Space  Research  Program;Space  agency;Government  (Civil  /  Military);Australia;Establish  a  high-quality  communications  service  for  the  international  research  community  in  Antarctica. 
                                        ;['https://dl.airtable.com/WmxnwrShOXcngfVQN2ew_Antarctic%20Broadband%20Nanosatellite%20Demonstration%20Mission.png']
ANUSAT-2;CubeSat;2U;cancelled;Anna  University;University;Academic  /  Education;India;Part  of  QB50  to  study  lower  termosphere.;[]
Aoxiang;Picosatellite;100  g;cancelled;Northwestern  Polytechnical  University;University;Academic  /  Education;China;Planning  to  investigate  polarisation  patterns. 
                                        ;[]
Aramis-C1;CubeSat;1U;cancelled;Polytechnical  University  of  Torino;University;Academic  /  Education;Italy;Demonstrate  modular  platform  technologies.;['https://dl.airtable.com/FfVR4wSVqDeFkH7eJqwZ_Aramis-C1.png']
ArduOrbiter-1;PocketQube;PocketQube  1p;cancelled;Reid  Technologies;Non-profit;Academic  /  Education;UK;\- 
                                        ;[]
Biarri-Point;CubeSat;3U;cancelled;US  Air  Force  Space  Command;Military;Government  (Civil  /  Military);US;International  collaboration  with  multiple  military  related  payloads.;[]
BUAA-Picosat;CubeSat;2U;cancelled;Beihang  University;University;Academic  /  Education;China;\- 
                                        ;[]
BUSAT-1;CubeSat;2U;cancelled;Beihang  University;University;Academic  /  Education;China;Part  of  QB50  to  study  lower  termosphere.;[]
CADRE  1  Chaser  (CubeSat  Active  Debris  Removal);CubeSat;8U;cancelled;Swiss  Federal  Institute  of  Technology  in  Lausanne;Institute;Government  (Civil  /  Military);Switzerland;Testing  of  miniaturized  rendezvous  sensors  (far  and  close  range).;['https://dl.airtable.com/mpK5dccEQNOuauxOkejQ_CADRE.png']
CADRE  1  Target  (CubeSat  Active  Debris  Removal);CubeSat;4U;cancelled;Swiss  Federal  Institute  of  Technology  in  Lausanne;Institute;Government  (Civil  /  Military);Switzerland;Testing  of  miniaturized  rendezvous  sensors  (far  and  close  range).;['https://dl.airtable.com/KG3sd8S4SGIR8uwP4fGQ_CADRE.png']
CAS  2A  (Chinese  Amateur  Radio  Satellite  2T,  Fengtai-1);CubeSat;3U;cancelled;CAMSAT  (Chinese  Amateur  Satellite  Group);Non-profit;Academic  /  Education;China;FM  transponder. 
                                        ;[]
CEPHEUS;CubeSat;3U;cancelled;Solar  MEMS  (Test  In  Space);Company;Commercial;Spain;Educational  and  research  project  with  multiple  payloads  including  fuel  cell  system.;['https://dl.airtable.com/.attachments/96f844bb9b6e0ddd25b4a9a02a73c63a/fb2644b2/cepheus_3.jpg',  'https://dl.airtable.com/.attachments/59d0204023aa167d8465a12affe47549/44b4ef3f/cepheus_4.jpg',  'https://dl.airtable.com/.attachments/50917990a1726ff89f0535f80d076034/5300426c/cepheus.jpg',  'https://dl.airtable.com/.attachments/60a20fbf72587fc0d0cfc57e01312ace/99e21dbf/cepheus_2.jpg']
ChargerSat-2;CubeSat;2U;cancelled;University  of  Alabama;University;Academic  /  Education;US;Conduct  relevant  microgravity  science  on  boiling  properties  in  extreme  microgravity.;[]
CHiRP;CubeSat;6U;cancelled;NASA  Jet  Propulsion  Laboratory;University;Academic  /  Education;US;Study  Ionospheric  dispersion  of  Radio  Pulses.;[]
Compact  RF  EO  demo;CubeSat;3U;cancelled;ESA;Space  agency;Government  (Civil  /  Military);France;Compact  RF  EO  demo 
                                        ;[]
Consat-1;CubeSat;3U;cancelled;Concordia  University;University;Academic  /  Education;Canada;Study  the  South  Atlantic  Anomaly.;['https://dl.airtable.com/cSv2yElAT8SHQCYSa1mz_ConSat-1_engineering_model_node_full_image_2.jpg']
Constellation  Pathfinder;Nanosatellite;1  kg;cancelled;Boston  University;University;Academic  /  Education;US;Demonstrate  CubeSat  platform  technologies.;[]
CRaBSS  (Characterizing  Radiation  Belt  Sources  and  Sinks);CubeSat;6U;cancelled;NASA  Goddard  Space  Flight  Center;University;Academic  /  Education;US;Characterizing  Radiation  Belt  Sources  and  Sinks 
                                        ;[]
CS-1;CubeSat;12U;cancelled;University  of  Melbourne;University;Academic  /  Education;Australia;\- 
                                        ;[]
CSIP;CubeSat;3U;cancelled;Air  Force  Research  Laboratory  (AFRL);Military;Government  (Civil  /  Military);US;Technology  demonstration  . 
                                        ;[]
CSTB-3;CubeSat;3U;cancelled;Boeing;Company;Commercial;US;Demonstrate  advanced  CubeSat  platform.;['https://dl.airtable.com/.attachments/7ee642112ffdd4d19288857ffcaef72a/cb2fe11d/CSTB-3.png']
CTAAP  (CubeSat  To  Accept  Any  Payload  );CubeSat;1U;cancelled;University  of  North  Dakota;University;Academic  /  Education;US;Educational  training  and  CubeSat  platform  demonstration.;['https://dl.airtable.com/.attachments/1e9bfc64746af5eaf035690da1ab9c78/795197af/CTAAP.png']
CubeSat-UD;CubeSat;1U;cancelled;District  University  of  Bogotá;University;Academic  /  Education;Colombia;Educational  training  and  telemedicine  pilot  project.;[]
CubeSTAR;CubeSat;2U;cancelled;University  of  Oslo;University;Academic  /  Education;Norway;Demonstrate  novel  Langmuir  probe  system  for  determination  of  absolute  electron  density  in  ionospheric  plasma. 
                                        ;['https://dl.airtable.com/.attachments/74f2d481edcc15cad025942b54ba4d1e/dbdb1ae1/CubeSTAR.png']
CubETH;CubeSat;1U;not  launched,  expected  in  x_ca;Swiss  Federal  Institute  of  Technology  in  Lausanne;University;Academic  /  Education;Switzerland;Capable  of  calculating  its  own  altitude  and  position  in  space  with  unprecedented  precision.;['https://dl.airtable.com/WmpN5M9ORW6iyYbAg6Cr_CubETH.jpg']
CuSPP;CubeSat;3U;cancelled;Southwest  Research  Institute;Institute;Government  (Civil  /  Military);US;Demonstrate  a  novel  miniaturized  Suprathermal  Ion  Sensor  to  measure  solar  energetic  particles.;[]
CzechTechSat;CubeSat;1U;cancelled;Czech  Technical  University  of  Prague;University;Academic  /  Education;Czech;Test  various  technologies  for  CubeSat  subsystems.;['https://dl.airtable.com/ebXKAAi8SIOU19mRRFOv_CzechTechSat.jpg']
DIME  (Double-probe  Instrumentation  for  Measuring  Electric-fields);CubeSat;1.5U;cancelled;ASTRA  (Atmospheric  &  Space  Technology  Research  Associates);Company;Commercial;US;Monitoring  electric  fields  in  LEO  for  space  weather  monitoring.;['https://dl.airtable.com/.attachments/f0305749a4695ecdaa1206a6ca5a3674/1d5e60d7/DIME_3.jpg',  'https://dl.airtable.com/.attachments/623c25ae62e941de485656714df5ec50/31fa0d73/DIME_2.png',  'https://dl.airtable.com/.attachments/8744be8ee067f709f4c2487e656bed0c/b0e1944f/DIME.jpg']
DISCOSAT  1  (DISCOvery  Museum  Satellite);CubeSat;2U;cancelled;The  Discovery  Museum  and  Planetarium;Institute;Government  (Civil  /  Military);US;Educational  training  for  children.;[]
Discovery  (QBUS  3);CubeSat;2U;cancelled;Stanford  University;University;Academic  /  Education;US;Part  of  QB50  to  study  lower  termosphere.;[]
DneprCubeSat;CubeSat;2U;cancelled;Youth  Aerospace  Education  National  Center;Space  agency;Government  (Civil  /  Military);Ukraine;TBD 
                                        ;[]
Drag-Free  CubeSat;CubeSat;3U;cancelled;Stanford  University;University;Academic  /  Education;US;Demonstrate  inexpensive  drag-free  technology  (  Gravitational  Reference  Sensor)  in  a  nanosatellite  mission.;['https://dl.airtable.com/.attachments/8cf966cafba479b163ee2cce69f9fe3d/512dc944/Drag-Free-CubeSat.png',  'https://dl.airtable.com/.attachments/1eebcdfdd8c14c36b9082afd0b65daf0/a952fa43/Drag-Free-CubeSat_2.png']
Dynacube;CubeSat;1U;cancelled;Denel  Dynamics;Company;Commercial;South  Africa;Radiation  sensors  to  study  a  phenomenon  known  as  the  South  Atlantic  Anomaly. 
                                        ;['https://dl.airtable.com/OYg17ix2SeSMTRNvhntS_DynaCube-HCD-CubeSat.png']
EARS-PocketQube;PocketQube;PocketQube  1p;cancelled;University  of  Surrey;University;Academic  /  Education;UK;\- 
                                        ;[]
ERPSat01  (ERPSat-1);CubeSat;1U;cancelled;Sfax  School  of  Engineering;University;Academic  /  Education;Tunisia;Educational  training  for  students  plus  camera  to  capture  images  to  detect  forest  fires.;['https://dl.airtable.com/.attachments/b236bd3464f644b2c3ac190ed7b9a7a5/38e28a43/ERPSat.jpg']
ESCAPE  (Earth  Science  CubeSat  for  Advanced  Payload  Experiments);CubeSat;3U;cancelled;NASA  Goddard  Space  Flight  Center;Space  agency;Government  (Civil  /  Military);US;Demonstrate  new  Fabry-Perot  sensor  technology  with  real-time  on-board  processing.;[]
ET-SAT;CubeSat;2U;cancelled;Addis  Ababa  Institute  of  Technology  (AAiT);University;Academic  /  Education;Ethiopia;undefined;[]
F-2;CubeSat;2U;cancelled;FPT  University;University;Academic  /  Education;Vietnam;TBD 
                                        ;['https://dl.airtable.com/.attachments/04a9658aab7900d96d67905fa4941958/52181487/F-2_2.png',  'https://dl.airtable.com/.attachments/b3a4e75749595ce767bb45612832e98f/69ca16e2/F-2.png']
FemtoXat;CubeSat;1U;cancelled;University  of  Vigo;University;Academic  /  Education;Spain;3D  printed  satellite.  Repeater  nertowrk  for  Humsat. 
                                        ;['https://dl.airtable.com/746qP13iTaOxcx0XA6Dy_FemtoXat_img_23184.jpg']
FIRST-S  (Fibered  Imager  foR  a  Single  Telescope);CubeSat;3U;cancelled;Observatoire  de  Paris;Institute;Government  (Civil  /  Military);France;Study  the  visible  emission  of  exozodiacal  light  in  the  habitable  zone  around  the  closest  star;['https://dl.airtable.com/.attachments/13908917add7881e7cb23f7a32f89115/efa9d45b/FIRST-S.png']
GE1:  Golden  Eagle  1  (GoldenEagle-1);CubeSat;1U;cancelled;Marquette  University;University;Academic  /  Education;US;Educational  training  and  take  images  in  visible  spectrum  and  infrared  spectrum.;[]
GOSTE  1;CubeSat;3U;cancelled;University  of  Hawaii  at  Manoa;University;Academic  /  Education;US;Develop  GNSS  radio  occulation  system  that  will  contribute  to  our  understanding  of  tropical  cyclogenesis.;['https://dl.airtable.com/.attachments/71522d11e309090a50ef5bfd6a505d4d/c45c928d/GOSTE.bmp']
GRE-1;CubeSat;2U;cancelled;Université  Joseph  Fourier  de  Grenoble;University;Academic  /  Education;France;Measuring  the  magnetic  field  using  a  magnetometer  based  on  a  very  low  power  consumption  technology. 
                                        ;[]
GROUP-C  (GPS  Radio  Occultation  and  Ultraviolet  Photometer  on  a  Cubesat);CubeSat;3U;cancelled;US  Naval  Research  Laboratory;Military;Government  (Civil  /  Military);US;GPS  Radio  Occultation  and  Ultraviolet  Photometer  on  a  Cubesat. 
                                        ;[]
Hamilton  1;CubeSat;1U;cancelled;Kubos;Company;Commercial;US;Test  flight  of  Kubos's  flight  control  open-source  flight  control  and  mission  management  software.;['https://dl.airtable.com/PFZ5o08eRSyAZ6SAcXLD_Hamilton.png']
HeDI  (Helium  Doppler  Imager);CubeSat;3U;cancelled;NASA  Goddard  Space  Flight  Center;Space  agency;Government  (Civil  /  Military);US;Helium  Doppler  Imager.  Monitoring  the  Sun. 
                                        ;[]
Heidelsat;CubeSat;1U;cancelled;Heidelberg  University  of  Applied  Sciences;University;Academic  /  Education;Germany;Cosmic  rays  measurement. 
                                        ;['https://dl.airtable.com/.attachments/c3a7034168d4a4a9105a5a8963e55657/57f780f8/HeidelSat.jpg']
Hermes  2;CubeSat;1U;cancelled;University  of  Colorado  in  Boulder;University;Academic  /  Education;US;Verification  of  spacecraft  bus  and  of  high  speed  communication  system  (115  kbaud  /  8  W  (?))  .  Reflight  of  Hermes. 
                                        ;['https://dl.airtable.com/lkwvPsITqaVFoOazMTzw_Hermes.jpg',  'https://dl.airtable.com/.attachments/4e6829584367965d8a8e340bd7cd1c2d/21829d22/Hermes_KySat_E1P.jpg']
HiLITE  (High  Latitude  Ionospheric  Thermospheric  Experiment);CubeSat;3U;cancelled;University  of  Colorado;University;Academic  /  Education;US;Measure  atmospheric  density,  which  impacts  satellite  positioning  and  other  space  weather  conditions. 
                                        ;[]
HORYU-1;CubeSat;1U;cancelled;Kyushu  Institute  of  Technology;University;Academic  /  Education;Japan;\- 
                                        ;[]
HORYU-3;CubeSat;3U;cancelled;Kyushu  Institute  of  Technology;University;Academic  /  Education;Japan;Demonstrate  various  technologies  focusing  on  high  voltage  power  buses  plus  camera.;[]
Imperial  College  London  CubeSat;CubeSat;3U;cancelled;Imperial  College  London;University;Academic  /  Education;UK;Aid  search  and  rescue  by  locating  distress  signals,  and  will  have  the  highest  resolution  (1.5m  per  pixel).;[]
InKlajn-1;CubeSat;3U;cancelled;Israel  Institute  Of  Technology;University;Academic  /  Education;Israel;Demonstrate  CubeSat  platform  technologies.;['https://dl.airtable.com/rakH35YTLSqS73SiNn1A_InKlajn-1.jpg']
InnoSAT;CubeSat;3U;cancelled;Astronautic  Technology  (M)  Sdn.  Bhd.;Company;Commercial;Malaysia;Demonstrate  various  attitude  control  algorithms.;['https://dl.airtable.com/.attachments/512695fd64402be126bfdf7f262fc05c/f6c73de2/InnoSAT.png']
Jugnu-2;CubeSat;3U;cancelled;Indian  Institute  of  Technology  Kanpur;University;Academic  /  Education;India;\- 
                                        ;['https://dl.airtable.com/WmxHZ7vjSWl0f0KrMVSg_Jugnu_image_gallery.jpg']
Kalam;Nanosatellite;10  kg;cancelled;National  Institute  of  Technology  Rourkela;University;Academic  /  Education;India;Earth  observation  for  agriculture  and  forestation  with  focus  on  mining  areas.;[]
KatySat  1;CubeSat;1U;cancelled;Stanford  University;University;Academic  /  Education;US;Educational  training  plus  hosting  a  web  server  for  amateur  radio  operators.;[]
KN-SAT1;CubeSat;1U;cancelled;University  of  Khartoum;University;Academic  /  Education;Sudan;Educational  training  for  students.;['https://dl.airtable.com/.attachments/b9390486801af38d8e0fe5cbd54c1a9e/3f3f445c/KN-SAT1_2.jpg',  'https://dl.airtable.com/.attachments/8301752d8e29d63c3fafcd49a88eb49f/c11c2466/KN-SAT1.jpg']
Kumu  A'o;CubeSat;1U;cancelled;University  of  Hawaii;University;Academic  /  Education;US;Demonstrate  CubeSat  platform  for  educational  training.;['https://dl.airtable.com/.attachments/3fc28e60efb068f51bd86e73f11bb353/ada5408e/Kumu-Ao.png']
LeSTAR  (Lessius  Satellite  for  Teaching  and  Autonomous  Research);CubeSat;3U;cancelled;Lessius  University  College;University;Academic  /  Education;Belgium;Growing  of  photosynthetic,  edible  micro-algae  under  microgravity  conditions.;['https://dl.airtable.com/.attachments/ea2aad387ec44fb19dad637cfb793359/1f55773c/LeSTAR_2.png',  'https://dl.airtable.com/.attachments/4dc8ef24aa2971a8d1da8bc93cd69e9d/9568cfeb/LeSTAR.png']
Lokahi;PocketQube;PocketQube  1p;cancelled;University  of  Hawaii;University;Academic  /  Education;US;\- 
                                        ;[]
LunchSat;CubeSat;3U;cancelled;Astrium  Ltd;Company;Commercial;UK;Educational  training  for  students  plus  camera  payload.;['https://dl.airtable.com/.attachments/1b74b478fde9b6a656d872f030e9167a/a968999a/LunchSat.jpg']
MAESAT;CubeSat;1U;cancelled;Nanyang  Technological  University;University;Academic  /  Education;Singapore;Verify  the  structural  integrity  of  the  proposed  Space  Station  developed  using  additive  manufacturing. 
                                        ;[]
MaRBLES  (MeAsuring  Radiation  Belt  Low  Earth  Sources/Sinks);CubeSat;6U;cancelled;NASA  Goddard  Space  Flight  Center;Space  agency;Government  (Civil  /  Military);US;Characterize  sources  and  sinks  of  energetic  particles  in  the  radiation  belts.;[]
MisST  (Microsatellite  in-situ  Space  Technologies);CubeSat;3U;cancelled;NASA  Ames  Research  Center;Space  agency;Government  (Civil  /  Military);US;Conducting  automated  biological  experiments  with  fluidics  system.;[]
Morgana  (Meteoroid  On-orbit  Research  in  Geopsace  for  Advancing  Near-earth  Awareness);CubeSat;3U;cancelled;Stanford  University;University;Academic  /  Education;US;Study  the  meteoroid  population  and  electrical  effects  of  hypervelocity  impacts.;[]
MyanSat-1;PocketQube;PocketQube  1p;cancelled;-;Individual;Academic  /  Education;Myanmar;undefined;[]
Narkissos-1;Picosatellite;TubeSat;cancelled;Spacebooth;Company;Commercial;Belgium;Educational  training  and  upload  pictures  to  space  and  display  them  on  an  OLED  screen.;[]
NUS  QB50;CubeSat;2U;cancelled;National  University  of  Singapore;University;Academic  /  Education;Singapore;undefined;[]
NUTS  (NTNU  Test  Satellite);CubeSat;2U;cancelled;Norwegian  University  of  Science  and  Technology;University;Academic  /  Education;Norway;Educational  mission  to  develop  CubeSat  platform  and  possibly  IR-camera.;['https://dl.airtable.com/x3Ntm5pwSfCnjoq9C80b_nuts-in-space-5_smaller.jpg']
OPTOS  2G;CubeSat;3U;cancelled;National  Institute  of  Aerospace  Technology;Space  agency;Government  (Civil  /  Military);Spain;Improving  many  subsystems. 
                                        ;['https://dl.airtable.com/.attachments/0ebe5cf79bb7b711e3b1e799ac031f06/2f86c7fc/OPTOS-2G_3.png',  'https://dl.airtable.com/.attachments/448977eeaeb9974d4c4edad9b9f3f168/b2a1f529/OPTOS-2G_2.png',  'https://dl.airtable.com/.attachments/7fa05115a258903f32ce8c132b6ea989/d5f0f147/OPTOS-2G.png']
ORS  Squared;CubeSat;6U;cancelled;University  of  New  Mexico;University;Academic  /  Education;US;Measure  vibration  and  shock  during  the  launch  of  a  Super  Strypi  and  demonstrate  HaWK  solar  array,;['https://dl.airtable.com/.attachments/e3c19044beaec84a3a442813ca8a3f3d/504229bd/ors-squared__1.jpg']
PEARL;CubeSat;3U;cancelled;Utah  State  University;Military;Government  (Civil  /  Military);US;Demonstrate  modular  CubeSat  platform  with  Vx  Works  operatiing  system.;['https://dl.airtable.com/.attachments/2b6d5da29d2c4d1f918b009177cfd431/870abfca/PEARL.png']
PiezoSat-1;CubeSat;3U;cancelled;Space  Science  and  Technology  Institute;Institute;Government  (Civil  /  Military);Lithuania;\- 
                                        ;[]
PilsenCUBE;CubeSat;1U;cancelled;University  of  West  Bohemia;University;Academic  /  Education;Czech;Demonstrate  various  CubeSat  platform  technologies.;['https://dl.airtable.com/.attachments/914b663a79f879b96fc2d36772b89e35/c93e9ff2/PilsenCUBE.jpg',  'https://dl.airtable.com/.attachments/b7a94b3a379e055529a62e8e41527c5a/2eea5d98/PilsenCUBE_2.png']
Pipit;PocketQube;PocketQube;cancelled;ATSB  (Astronautic  Technology  (M)  Sdn.  Bhd);Institute;Government  (Civil  /  Military);Malaysia;\- 
                                        ;[]
Politech.1;CubeSat;3U;cancelled;Polytechnic  University  of  Valencia;University;Academic  /  Education;Spain;A  telescope  camera  for  Earth  Imaging  and  a  high-data  rate  transmitter.;['https://dl.airtable.com/diTu7tF4SGiaiFfA8Xh3_politech-1__1.jpg']
PR  CubeSat  (Puerto  Rico  CubeSat);CubeSat;1U;cancelled;University  of  Puerto  Rico;University;Academic  /  Education;US;Educational  training  and  demonstrate  CubeSat  platform.;['https://dl.airtable.com/.attachments/c9a1417555aeedfbcc6ef2b057618cce/91ca57f6/PR-CubeSat_3.png',  'https://dl.airtable.com/.attachments/cd72d728c1dff15f18345c13563df338/3c658e6a/PR-CubeSat_2.png',  'https://dl.airtable.com/.attachments/a1c7c7dee3ebe68d7709b7cbb05126be/675b4fb1/PR-CubeSat_4.png',  'https://dl.airtable.com/.attachments/d0d10c59b96785b6e4154b0bdaf677ae/96a8a6f0/PR-CubeSat.jpg']
Quest-1;CubeSat;1U;cancelled;Valle  Christian  High  School;School;Academic  /  Education;US;Educational  training  plus  camera  for  taking  photos  of  Earth.;[]
R2S  (UND-Sat);CubeSat;1U;cancelled;University  of  North  Dakota;University;Academic  /  Education;US;Optical  payload  to  determine  position  while  taking  images.;['https://dl.airtable.com/DsQs4SyCQ5mXNdZCTc2D_R2S.png']
RADSat  (Radiation  Data  Acquisition  Satellite);CubeSat;1U;cancelled;Embry-Riddle  Aeronautical  University,  Daytona;University;Academic  /  Education;US;Technological  demonstration  of  the  Highly  Miniaturized  Radiation  Monitor.  ;['https://dl.airtable.com/.attachments/f0fa91459c338df0603dcb0410139a32/f1024f56/RADSat_2.jpeg',  'https://dl.airtable.com/.attachments/17f39d16d5f6c627e66552f476780a3b/4e9ac168/RADSat.png']
RioSat;CubeSat;2U;cancelled;Graz  Unviersity  of  Technology;University;Academic  /  Education;Austria;\- 
                                        ;[]
ROBUSTA-2;CubeSat;1U;cancelled;University  of  Montpellier  II;University;Academic  /  Education;France;Educational  testing  and  space  qualification  of  different  memory  chips.;[]
Samara  Earth  Observation  Unit  ;CubeSat;2U;cancelled;Samara  State  Aerospace  University;University;Academic  /  Education;Russia;\- 
                                        ;[]
SamSat-QB50;CubeSat;3U;cancelled;Samara  State  Aerospace  University;University;Academic  /  Education;Russia;Part  of  QB50  to  study  lower  termosphere.;[]
SASSat;PocketQube;PocketQube  1p;cancelled;Singapore  American  School;School;Academic  /  Education;Singapore;\- 
                                        ;[]
SeaKing;CubeSat;1U;cancelled;Palos  Verdes  High  School;School;Academic  /  Education;US;High  school  student  engineering  group. 
                                        ;[]
SEDSat-2;CubeSat;1U;cancelled;Students  for  the  Exploration  and  Development  of  Space  (SEDS);Non-profit;Academic  /  Education;UK;Educational  training  plus  camera  and  detecting  radar  sources.;[]
